Name,Entrants,Country,City,State,Date,Prize Pool,Winner,2nd,3rd,4th,5th,6th,7th,8th
Smash 'N' Splash 2,459,USA,Gurnee,IL,2016-06-12,4590,Hungrybox,Swedish Delight,Mew2King,Shroomed,Westballz,SFAT,n0ne,Wizzrobe
Low Tier City 4,294,USA,Plano,TX,2016-06-19,4410,Hungrybox,Mango,Wizzrobe,ESAM,Lucky,Wobbles,Mojo,Tai
CEO 2016,678,USA,Orlando,FL,2016-06-26,6780,Hungrybox,Mew2King,SFAT,Plup,Axe,Shroomed,Wizzrobe,ChuDat
WTFox 2,292,USA,Memphis,TN,2016-07-03,7420,Mango,Armada,Mew2King,Wizzrobe,The Moon,Hungrybox,Duck,SFAT
Evo 2016,2372,USA,Las Vegas,NV,2016-07-17,23720,Hungrybox,Armada,Plup,Mango,Mew2King,S2J,Westballz,PewPewU
Clutch City Clash,270,USA,The Woodlands,TX,2016-08-07,5550,Mew2King,SFAT,Mango,Westballz,Ice,S2J,The Moon,ARC
Super Smash Con 2016,940,USA,Chantilly,VA,2016-08-14,10500,Mango,Hungrybox,Mew2King,Axe,Shroomed,SFAT,Westballz,PewPewU
Heir 3,472,UK,Nottingham,,2016-08-21,6610,Armada,The Moon,ChuDat,Overtriforce,Professor Pro,Trif,Leffen,Vanity Angel
Shine 2016,989,USA,Boston,MA,2016-08-28,9890,Mew2King,SFAT,Mango,Hungrybox,Swedish Delight,Axe,Plup,MacD
Syndicate 2016,209,Netherlands,Utrecht,,2016-09-11,2560,Armada,Westballz,Ice,Fuzzyness,Professor Pro,Zgetto,Baxon,Overtriforce
The Big House 6,1563,USA,Dearborn,MI,2016-10-09,15630,Mango,Armada,Ice,Mew2King,SFAT,Hungrybox,Wizzrobe,PewPewU
Eclipse 2,247,Norway,Jessheim,,2016-10-23,5250,Armada,Ice,Leffen,Profesor Pro,Kage,Trif,Android,Zgetto
Canada Cup 2016,232,Canada,Toronto,ON,2016-10-30,3836,Armada,Hungrybox,Mew2King,KirbyKaze,Zhu,MacD,Coffeeblack,Prince Abu
Smash Summit 3,16,USA,Los Angeles,CA,2016-11-06,21363,Armada,Hungrybox,Mew2King,Mango,Axe,Plup,Shroomed,Duck
Dreamhack Winter 2016,242,Sweden,Jonkoping,,2016-11-27,30000,Armada,Hungrybox,Leffen,Mango,Professor Pro,Wizzrobe,Ice,Trif
UGC Smash Open,255,USA,Collinsville,IL,2016-12-04,17480,Armada,Mew2King,Hungrybox,Leffen,Professor Pro,n0ne,SFAT,Swedish Delight
Don't Park on the Grass,640,USA,Seattle,WA,2016-12-18,7396,Leffen,Hungrybox,Westballz,SFAT,PewPewU,S2J,Ice,dizzkidboogie
GENESIS 4,1704,USA,San Jose,CA,2017-01-22,18440,Armada,Mango,Mew2King,Hungrybox,Leffen,Plup,Axe,Westballz
B.E.A.S.T. 7,409,Sweden,Gothenburg,,2017-02-19,5030,Armada,Leffen,Ice,The Moon,DruggedFox,Amsah,Android,Slox
